filename,banana_half-ripe,banana_overripe,banana_rotten,banana_unripe,freshripe,freshunripe,overripe,ripe,rotten,unripe
musa-acuminata-overripe-76570c65-2653-11ec-a561-d8c4975e38aa_jpg.rf.eb118cf081693167e3e5d555446681d1.jpg,0,0,0,0,0,0,1,0,0,0
musa-acuminata-banana-f1a2f220-394a-11ec-8d44-d8c4975e38aa_jpg.rf.0c47da4887091963ca8ae9a24373c218.jpg,0,0,0,0,1,0,0,1,0,0
musa-acuminata-ripe-71b67ceb-2653-11ec-ab93-d8c4975e38aa_jpg.rf.c8fa3bbd83b70362e5fca18518a84850.jpg,0,0,0,0,0,0,0,1,1,0
musa-acuminata-overripe-7e314d1a-2653-11ec-a715-d8c4975e38aa_jpg.rf.10ac30f2813940773c8b1b806af66dcf.jpg,0,0,0,0,0,0,1,0,0,0
musa-acuminata-banana-e80995ad-394a-11ec-8556-d8c4975e38aa_jpg.rf.adb59dcbab6fe9aa7b198dee1b9e3d34.jpg,0,0,0,0,0,0,0,1,0,0
musa-acuminata-banana-e8d8d963-394a-11ec-93cc-d8c4975e38aa_jpg.rf.2071447076b28b1d4de769642a10cfef.jpg,0,0,0,0,0,0,0,1,0,0
images-3-_jpg.rf.d4a4a7c4a843dea5ba7afc098772ccda.jpg,1,0,0,0,0,0,0,0,0,0
musa-acuminata-freshunripe-2ef55eee-2653-11ec-83ff-d8c4975e38aa_jpg.rf.1907a157cc6536176b733d699daceb36.jpg,0,0,0,0,0,1,0,0,0,0
musa-acuminata-banana-f19c596a-394a-11ec-8205-d8c4975e38aa_jpg.rf.348dd68c2b15604d041c55b908f3de45.jpg,0,0,0,0,1,0,0,1,0,0
musa-acuminata-banana-e80c027c-394a-11ec-a89d-d8c4975e38aa_jpg.rf.0d702abd475a29ef9584582bd4ef0b76.jpg,0,0,0,0,0,0,0,1,0,0
musa-acuminata-banana-fe56331d-394a-11ec-879f-d8c4975e38aa_jpg.rf.93f0bbb9ea5febb45c95e0ad04d53dfa.jpg,0,0,0,0,1,0,0,1,0,0
musa-acuminata-overripe-7fa38f2d-2653-11ec-a8b1-d8c4975e38aa_jpg.rf.0fb95d8900fcfe26367c2ad6c2b52e95.jpg,0,0,0,0,0,0,1,0,0,0
musa-acuminata-banana-adf140d2-394a-11ec-8f4a-d8c4975e38aa_jpg.rf.837ce57f1c7945ee2e8ab7ba3866992b.jpg,0,0,0,0,0,0,0,1,0,0
musa-acuminata-banana-afa7fc5e-394a-11ec-bb72-d8c4975e38aa_jpg.rf.5189897ad3356b900688f86129128b9a.jpg,0,0,0,0,1,0,0,0,0,0
musa-acuminata-banana-f20ec9de-394a-11ec-a49b-d8c4975e38aa_jpg.rf.d399449fff45a4003ffeaec46c81f12f.jpg,0,0,0,0,1,0,0,1,0,0
musa-acuminata-ripe-71b8df1b-2653-11ec-ac1d-d8c4975e38aa_jpg.rf.3ff9d69dc14365e2a40abb6023db877f.jpg,0,0,0,0,0,0,0,0,1,0
istockphoto-531473378-612x612_jpg.rf.1fec59642f9fc7f50d4d39a4ac4e1918.jpg,1,0,0,0,0,0,0,0,0,0
musa-acuminata-banana-eb905b4f-394a-11ec-9252-d8c4975e38aa_jpg.rf.1fa4e4744479800a92da8d18096a5883.jpg,0,0,0,0,1,0,0,0,0,0
musa-acuminata-banana-fd83ed64-394a-11ec-bf59-d8c4975e38aa_jpg.rf.c3090b56636934871c3605390077aa3e.jpg,0,0,0,0,0,0,0,1,0,0
